Üretici,Kök_Neden_TR,Çözüm_TR
SAFARI COACH,"DOMETIC CORPORATION TARAFINDAN ÜRETİLEN İKİ KAPILI BUZDOLABI İLE DONATILAN BAZI MOTORLU EVLER, BEŞİNCİ TEKERLEK VE SEYAHAT RÖMORKLARINDA, BUZDOLABININ KAZAN BORUSUNDA BOZUK OLABİLİR.  BASINÇLI SOĞUTMA SIVISI, TUTUŞMA KAYNAĞININ (GAZ ALEVİ) MEVCUT OLDUĞU BİR ALANDA SAĞLANABİLİR.","MONACO, BU BUZDOLABLARININ TAMİR EDİLMESİ İÇİN DOMETIC İLE ÇALIŞACAKTIR (LÜTFEN BAKINIZ 06E076).  DOMETIC, İKİNCİL YANIK MUHAFAZASI, TERMAL SİGORTA VE ERİYİCİ SİGORTA TAKARAK BU BUZDOLABLARINI ÜCRETSİZ OLARAK TAMİR EDECEKTİR.   DOMETIC, BU KAMPANYAYI YÖNETMEK İÇİN STERICYCLE INC.'YI ELDE ETTİ.  STERICYCLE SAHİBİNE BAYİLİK VEYA SERVİS MERKEZLERİNİN BULUNDUĞUNDA YARDIMCI OLACAK VE RANDEVULARIN PLANLANMASI KONUSUNDA YARDIM SAĞLAYACAKTIR.   SAHİPLER DOMETIC/STERICYCLE ile 1-888-446-5157 VEYA 1-877-466-6226 numaralı telefondan MONACO İLE İLETİŞİME GEÇEBİLİR."
MCI,"Motor Coach Industries (MCI), belirli Cummins ile donatılmış belirli 2019-2022 D4000 ISTV, D4500, 2021 D4000, D4520, 2020-2021 D4505, D4005, 2020-2022 D45CRTLE ve 2019-2021 J4500 araçlarını geri çağırıyor X12 dizel motorlar.  Yakıt rayı ile dördüncü, beşinci ve altıncı silindirlerin enjektörleri arasındaki yakıt boruları yorulabilir ve çatlayabilir, bu da yüksek basınçlı yakıt sızıntısına neden olabilir.","75 mil veya daha az mesafeye sahip motorlarda Cummins bayileri yakıt borularına titreşim yalıtıcıları takacaktır.  75 milden fazla yol kat eden motorlara titreşim yalıtıcılı yeni yakıt tüpleri verilecek.  Onarımlar ücretsiz olarak gerçekleştirilecektir.  Sahip bildirim mektupları 11 Mart 2022'de gönderildi. Sahipler, 1-800-241-2947 numaralı telefondan MCI müşteri hizmetleriyle iletişime geçebilir.  MCI'ın bu geri çağırmaya ilişkin numarası R21-028'dir."
BLUE BIRD,"Blue Bird Body Company (Blue Bird), 2018-2021 Vision ve All American okul otobüslerinden bazılarını geri çağırıyor.  Elektrikli aktarma organları, yüksek gerilim kontaktörleri kapalıyken izolasyon hatalarını tespit edemez.","Blue Bird araç sahiplerini bilgilendirecek ve bayiler Araç Kontrol Birimi yazılımını güncelleyecek veya Yüksek Gerilim Güç Dağıtım Birimi donanımının farklı bir kombinasyonunu ücretsiz olarak kuracak.  Geri çağırma 22 Mayıs 2021'de başladı. Araç sahipleri, 1-478-822-2242 numaralı telefondan Blue Bird müşteri hizmetleriyle iletişime geçebilir.  Bu geri çağırma için Blue Bird'ün numarası R21BD-SB'dir."
COUNTRY COACH,WEBASTO BRÜLÖR BORULARININ KULLANILDIĞI ARAÇ SİSTEMLERİNİN AQUA-SICAK VE HİDRO-SICAK SU ISITICILARIYLA DONATILAN BELİRLİ SINIF A MOTORLU EVLERDE BRÜLÖR BORULARI ÖZELLİKLERİ KARŞILAMAZ VE ERKEN ZAMANDAN ARIZALANABİLİR.,ARAÇ SİSTEMLERİ BU KAMPANYA İÇİN SAHİBİNE BİLDİRİM VE ÇÖZÜM YAPIYOR.   SAHİPLER ARAÇ SİSTEMLERİYLE 1-800-685-4298 TELEFONUNDA VEYA 1-800-547-8015 TELEFONUNDA COACH İLE İLETİŞİME GEÇEBİLİR.
SPARTAN FIRE,"Spartan Fire, LLC, 2009-2021 Gladiator ve MetroStar acil durum araçlarından bazılarını geri çağırıyor.  Yangın suyu pompası solenoidi dahili olarak paslanarak pompa kontrol modülünde güç kaybına neden olabilir.","Bayiler şüpheli solenoidleri ücretsiz olarak değiştirecektir.  Sahip bildirim mektupları 9 Temmuz 2021'de postalandı. Sahipler, 1-517-543-6400 numaralı telefondan Spartan Fire müşteri hizmetleriyle iletişime geçebilir."
SPARTAN,"ARACIN AÇIKLAMASI: İTFAİYE ARAÇLARI.   SÜRÜCÜ İLERİ HIZ 20 MİL'İN ÜZERİNDE HIZLANIRSA, KİLİT PİMİ ETKİNLEŞTİRİLİR VE DÖNÜŞ TAMAMLANDIKTAN SONRA DİNGİLİN DÜZ KONUMA DÖNMEYE DİRENÇ VERMESİNE NEDEN OLUR, ÇÜNKÜ KİLİT PİMİ KELEPÇE PLAKASI YÜZEYİNE BAĞLANIR.",BAYİLER BU İTFAİYE ARAÇLARININ TADİLAT AKSLARINI DEĞİŞTİRECEKTİR.
FREIGHTLINER,"DTNA, 2008-2012 YILI BELİRLİ MODEL FREIGHTLINER'I GERİ ÇAĞIRIYOR; CASCADIA, CENTURY CLASS, COLUMBIA VE CORONADO, BELİRLİ MODEL YILI 2008-2009 STERLİN; A-LINE VE L-LINE VE BELİRLİ MODEL 2009-2012 YILI WESTERN STAR CONSTELLATION ARAÇLARI, 14 OCAK 2008'DEN 15 HAZİRAN 2011'E KADAR ÜRETİLMİŞ, DETROIT DİZEL 15 VEYA 16 MOTORLARLA ÜRETİLMİŞTİR.  KAUÇUK İZOLATÖRÜ DESTEK BRAKETİNE BAĞLAYAN CIVATA GEVŞEYEBİLİR VE GERİ ÇIKABİLİR, OLASI OLARAK SİGORTALI OLMAYAN BİR MARŞ KABLOSUNA TEMAS OLABİLİR VE KISA DEVRE OLUŞTURABİLİR.",BAYİLER YENİ BİR CİVATA VE İZOLATÖR TAKACAK VE REKLAM ARAÇLARINI ÜCRETSİZ ONARIM YAPILACAKTIR.  GÜVENLİK GERİ ÇAĞIRMASI 21 ARALIK 2011'DE BAŞLADI. SAHİPLER 1-800-547-0712 TELEFONUNDA DTNA İLE İLETİŞİME GEÇEBİLİR.
MERCEDES-BENZ,"Mercedes-Benz USA, LLC (MBUSA), 2017-2022 CLA-Class, GLA-Class, GLE-Class, GLS-Class, SLC-Class, A-Class, AMG GT-Class, C-Class, E-Class, S-Class, SL-Class, GLC-Class, CLS-Class, GLB-Class ve G-Class araçlarını geri çağırıyor.  Belirli araç modeli ayrıntıları için lütfen MBUSA'nın geri çağırma raporuna bakın.  İletişim modülünün SIM kart yazılımındaki bir hata, mobil ağ bağlantısı hatasına neden olarak acil çağrı (eCall) sistemini devre dışı bırakabilir.","İletişim modülü yazılımı, Over-the-Air (OTA) güncellemesi yoluyla veya bir bayi tarafından ücretsiz olarak güncellenecektir.  Sahip bildirim mektupları 8 Temmuz 2022'de postalandı. Sahip bildirim mektupları 8 Temmuz 2022, 17 Mayıs 2024, 29 Temmuz 2024 ve 27 Eylül 2024'te aşamalı olarak postalanacak. Sahipler 1-800-367-6372 numaralı telefondan MBUSA müşteri hizmetleriyle iletişime geçebilir.  MBUSA'nın bu geri çağırmaya ilişkin numaraları 2022060005 ve 2023110006'dır."
FORD,"BELİRLİ TOLERANS KOŞULLARI ALTINDA, GAZ PATÖR ÇUBUĞU GAZ RÖPORTAJI GERİ DÖNÜŞ YAYI BRAKETİYLE TEMAS OLABİLİR, BU DURUMDA GAZ PATÖR BAĞLANTININ RÖLANTİ KONUMUNA DÖNÜŞÜNDE ANLIK BİR GECİKME OLASILIĞI YARATABİLİR. BU DURUMUN 3/4 GAZDA OLUŞMA OLASILIĞI ÇÜNKÜ GAZ ÇUBUĞU İLE BRAKET ARASINDAKİ AÇIKLIK BU NOKTADA MİNİMUM DURUMDADIR.","BAYİ, SAHİBİNDEN ÜCRETSİZ OLARAK YENİ BİR GAZ ETKİSİ DÖNÜŞ YAYI BRAKETİ TAKACAKTIR."
NEWMAR,"Newmar Corporation (Newmar), 29 Mayıs 2007 ile 14 Ocak 2015 tarihleri arasında üretilen belirli model yılı 2008-2014 Bay Star, Dutch Star ve Ventana, 2012-2014 Bay Star Sport ve Ventana VL, 2008-2015 Canyon Star, 2009-2010 Dutch Aire ve 2008 Kountry Star karavanlarını geri çağırıyor. Lippert Components tarafından üretilen bazı Coachstep Çift ve Üçlü Elektrikli Basamaklarla donatılmıştır.  Fan dişlisi grubunu basamaklara bağlayan cıvata kırılarak fan dişlisinin basamaklardan ayrılmasına neden olabilir.  Sonuç olarak adımlar beklenen konumda kalmayabilir ve istikrarsız olabilir.","Newmar, sahipleri bilgilendirecek ve bayiler, çalışma mekanizmasını güçlendirmek için ücretsiz olarak bir tutucu braket takacak.  Geri çağırma 17 Şubat 2016'da başladı. Araç sahipleri 1-574-773-7791 numaralı telefondan Newmar müşteri hizmetleriyle veya 574-537-8900 numaralı telefondan Lippert Müşteri hizmetleriyle iletişime geçebilir.  Newmar'ın bu geri çağırmaya ilişkin numarası 15E 078'dir."
CARPENTER,ARACIN AÇIKLAMASI: OKUL OTOBÜSLERİ.  OTOBÜSTEN ÇIKARKEN YOLCUSUN KIYAFETLERİ BİLİNMEYEN OTOBÜS KAPILARINDAKİ TUTUCUKLARA SIKIŞABİLİR.,"CARPENTER, MONTAJ TALİMATLARIYLA BİRLİKTE SAHİPLERİNE DÜZELTİCİ PARÇALARI GÖNDERİYOR."
PILOTCAR,"Pilotcar EV INC (Pilotcar), 2021-2023 model PC-2, PC-4 ve PC-6 düşük hızlı elektrikli araçları geri çağırıyor.  Yaya uyarı ses sistemi kurulmamıştır.  Dolayısıyla bu araçlar, 141 numaralı Federal Motorlu Taşıt Güvenlik Standardı, ""Hibrit ve Elektrikli Araçlar için Minimum Ses Gereksinimleri"" ve 500, ""Düşük Hızlı Araçlar"" gerekliliklerine uymamaktadır.","Pilotcar, dijital ses jeneratörü, amplifikatör ve iki hoparlörden oluşan yaya uyarı ses sistemini ücretsiz kuracak.  Sahip bildirim mektupları 28 Aralık 2023'te postalandı. Araç sahipleri 1-239-243-8023 numaralı telefondan Pilotcar müşteri hizmetleriyle iletişime geçebilir.  Pilotcar'ın bu geri çağırma numarası PC-2023-03'tür."
MERCEDES-BENZ,"Mercedes-Benz USA, LLC (MBUSA), 2017-2022 CLA-Class, GLA-Class, GLE-Class, GLS-Class, SLC-Class, A-Class, AMG GT-Class, C-Class, E-Class, S-Class, SL-Class, GLC-Class, CLS-Class, GLB-Class ve G-Class araçlarını geri çağırıyor.  Belirli araç modeli ayrıntıları için lütfen MBUSA'nın geri çağırma raporuna bakın.  İletişim modülünün SIM kart yazılımındaki bir hata, mobil ağ bağlantısı hatasına neden olarak acil çağrı (eCall) sistemini devre dışı bırakabilir.","İletişim modülü yazılımı, Over-the-Air (OTA) güncellemesi yoluyla veya bir bayi tarafından ücretsiz olarak güncellenecektir.  Sahip bildirim mektupları 8 Temmuz 2022'de postalandı. Sahip bildirim mektupları 8 Temmuz 2022, 17 Mayıs 2024, 29 Temmuz 2024 ve 27 Eylül 2024'te aşamalı olarak postalanacak. Sahipler 1-800-367-6372 numaralı telefondan MBUSA müşteri hizmetleriyle iletişime geçebilir.  MBUSA'nın bu geri çağırmaya ilişkin numaraları 2022060005 ve 2023110006'dır."
GULF STREAM,"GULF STREAM, DOMETIC CORPORATION TARAFINDAN ÜRETİLEN İKİ KAPILI BUZDOLABI İLE DONANIMLI 2003-2006 MODELLERİMDEKİ 26.847 EĞLENCELİ ARAÇLARI GERİ ÇAĞIRIYOR.   BUZDOLABININ KAZAN BORUSUNDA BOZUK OLABİLİR.  BASINÇLI SOĞUTMA SIVISI, TUTUŞMA KAYNAĞININ (GAZ ALEVİ) MEVCUT OLDUĞU BİR ALANDA SAĞLANABİLİR.","GULF STREAM BU BUZDOLABILARIN ONARIMI İÇİN DOMETIC İLE ÇALIŞIYOR (LÜTFEN BAKINIZ 08E032).  DOMETIC, İKİNCİL YANIK MUHAFAZASI, TERMAL SİGORTA VE ERİYİCİ SİGORTA TAKARAK BU BUZDOLABLARINI ÜCRETSİZ OLARAK TAMİR EDECEKTİR.   DOMETIC, BU KAMPANYAYI YÖNETMEK İÇİN STERICYCLE INC.'YI ELDE ETTİ.  STERICYCLE SAHİBİNE BAYİLİK VEYA SERVİS MERKEZLERİNİN BULUNDUĞUNDA YARDIMCI OLACAK VE RANDEVULARIN PLANLANMASI KONUSUNDA YARDIM SAĞLAYACAKTIR.   SAHİPLER DOMETIC/STERICYCLE ile 1-888-446-5157 VEYA GULF STREAM ile 1-574-773-7761 numaralı telefondan iletişime geçebilirler."
FORD,"Ford Motor Company (Ford), belirli 2018-2020 Expedition ve Lincoln Navigator araçlarını geri çağırıyor.  Sürücü ve/veya ön yolcu koltuğundaki emniyet kemeri ön gerdiricisi emniyet kemerini yanlışlıkla kilitleyebilir ve bu da kemerin geri çekilmesine veya uzamasına izin vermeyecektir.",Bayiler emniyet kemeri toplayıcı tarih kodlarını inceleyecek ve gerekiyorsa emniyet kemeri toplayıcılarını ücretsiz olarak değiştirecektir. Sahip bildirim mektupları 22 Ekim 2025'te postalandı. Araç sahipleri 1-866-436-7332 numaralı telefondan Ford müşteri hizmetleriyle iletişime geçebilir.  Ford'un bu geri çağırma numarası 25S31'dir.  Bu geri çağırma kapsamında daha önce 24V-099 geri çağırma kapsamında incelenen ve parçaları değiştirilmeyen bazı araçların bu yeni geri çağırma çözümünün tamamlanması gerekecek.
VANCRAFT,"VANCRAFT LLC (VanCraft), belirli 2014-2023 SWB, LWB, 2023 LWB Pro, 2023-2024 Rover, Rover XL ve Alltrek karavanlarını geri çağırıyor.  Arka koltuk sırası oturma sistemindeki takviye donanımı, montaj donanımı ve emniyet kemeri bağlantı cıvataları yük altında arızalanabilir.  Bu nedenle, bu araçlar Federal Motorlu Taşıt Güvenlik Standardı 207, ""Oturma Sistemleri"" ve 209, ""Emniyet Kemeri Grupları"" gerekliliklerine uymamaktadır.","Bayiler yeni emniyet kemeri bağlantı donanımını, döşeme takviyesini ve güçlendirilmiş koltuk sırası çubuklarını ücretsiz olarak kuracak.  Sahip bildirim mektupları 19 Aralık 2024'te gönderildi. Sahipler 1-888-381-7333 numaralı telefondan Vancraft müşteri hizmetleriyle iletişime geçebilir."
FCCC,"Daimler Trucks North America LLC (DTNA), belirli 2018 Freightliner Custom Chassis XBP, 2017-2020 XBR, 2017-2022 XBS, 2016-2019 XCL, 2016-2023 XCM, 2017-2021 XCP, 2016-2023 XCR ve 2017-2023 XCS eğlence aracı şasisi.  Arkaya monte edilen Güç Dağıtım Modülünde (PDM) dahili hasar bulunabilir ve bu durum arka işaret lambalarının, fren lambalarının veya dönüş sinyallerinin çalışmamasına neden olabilir.","Bayi, ücretsiz olarak ikincil bir sigortalı donanım takacaktır.  Sahip bildirim mektupları 18 Mart 2022'de gönderildi. Sahipler 1-800-547-0712 numaralı telefondan DTNA müşteri hizmetleriyle iletişime geçebilir.  Bu geri çağırma için DTNA'nın numarası FL917'dir.  Bu geri çağırma, NHTSA'nın 20V-404 ve 18V-502 geri çağırmalarının bir uzantısıdır.  Daha önce geri çağrılan araçların, mevcut olduğunda yeni çözüm onarımını alması gerekecektir."
LINCOLN,"Ford Motor Company (Ford), Revel Ses Sistemiyle donatılmış bazı 2020-2023 Lincoln Aviator ve 2020-2022 Lincoln Corsair araçlarını geri çağırıyor.  Sürücü emniyet kemeri takılmadığında ve araç çalıştırıldığında, emniyet kemeri uyarı sistemi sesli uyarıyı 4 saniyeden daha kısa bir süre için devreye sokabilir.  Bu nedenle, bu araçlar 208 numaralı Federal Motorlu Taşıt Güvenlik Standardı ""Yolcu Çarpma Koruması"" gerekliliklerine uymamaktadır.",Bayiler ses kontrol modülü yazılımını ücretsiz olarak güncelleyecektir.  Sahip bildirim mektupları 7 Şubat 2023'te postalandı. Araç sahipleri 1-866-436-7332 numaralı telefondan Ford müşteri hizmetleriyle iletişime geçebilir.  Ford'un bu geri çağırma numarası 22C35'tir.
MONACO COACH,"MONACO, AM EKİPMANI TARAFINDAN SAĞLANAN SİLECEK SİSTEMLERLE DONATILAN 2006-2007 YILINA AİT DİPLOMAT VE TATİL RAMBLER ENDEAVOR MOTORLU 1.733 KONUTLARI GERİ GERİ ÇEKİYOR.  SÜRÜCÜ MOTORU BAĞLANTISI, ÇALIŞMA SIRASINDA SİLECEK TAHRİK KOLUNDAN TAHRİK KOLUNA TAKILDIĞI YERDEN AYRILIR VE SİLECEK SİSTEMİNİN ARIZASINA NEDEN OLUR.","MONACO, KAPUT ALTI SİLECEK SİSTEMİNİN TAMAMINI, SİLECEK KOLU VE FIRÇALARIN YENİDEN KULLANILACAĞI YENİ BİR MODELLE DEĞİŞTİRECEKTİR.  GERİ ÇAĞIRMA 11 MART 2008'DE BAŞLADI. SAHİPLER 1-800-685-6545 numaralı telefondan MONACO'YLA İLETİŞİME GEÇEBİLİR."
HONDA,"Honda (American Honda Motor Co.), belirli 2018-2020 Accord Sedan, Accord Hybrid ve 2019-2020 Insight araçlarını geri çağırıyor.  Bir yazılım hatası, Karoseri Kontrol Modülü (BCM) ile diğer bileşenler arasındaki iletişimde aralıklı veya sürekli kesintilere neden olabilir.  Bu, ön cam silecekleri ve buz çözücü, geri görüş kamerası, dış aydınlatma, duran aracın sesli uyarısı ve elektrikli camın çalışması gibi çeşitli sistemlerde arızalara neden olabilir.  Dolayısıyla bu araçlar, Federal Motorlu Taşıt Güvenlik Standardı (FMVSS) 103, ""Ön Cam Buz Çözme ve Buğu Çözme Sistemleri"" ve 111, ""Arka Görünürlük"" ile 104, 108, 114, 118 ve 305 numaralı FMVSS gerekliliklerine uymamaktadır.",Honda araç sahiplerini bilgilendirecek ve bayiler BCM yazılımını ücretsiz olarak güncelleyecek.  Geri çağırmanın 22 Şubat 2021'de başlaması bekleniyor. Araç sahipleri 1-888-234-2138 numaralı telefondan Honda müşteri hizmetleriyle iletişime geçebilir.  Honda'nın bu geri çağırma numarası X95'tir.
KENWORTH,"PACCAR Incorporated (PACCAR), 1,9M ISX15 motorlarla donatılmış belirli 2016-2019 Kenworth C500, T660, T800 ve W900 araçlarını geri çağırıyor.  Motor kablo demetleri, motor kontrol ışığı (CEL) ve motor durdurma ışığı (SEL) devreleri olmadan üretilmiş olabilir, bu da sürücünün ciddi bir motor sorunu konusunda uyarılmasını engeller.",PACCAR sahiplerine bilgi verecek ve bayiler ISX15 motor kablo demetini inceleyecek veya test edecek ve eksik CEL ve SEL devrelerini ücretsiz olarak beslemek için bir kaplama atlama kablosu kablo demeti takacak.  Geri çağırma 30 Kasım 2018'de başladı. Araç sahipleri 1-918-259-3258 numaralı telefondan PACCAR müşteri hizmetleriyle iletişime geçebilir.  PACCAR'ın bu geri çağırmaya ilişkin numarası 18KWE'dir.
WINNEBAGO,"Winnebago Industries, Inc. (Winnebago), belirli 2022 Ekko, 2020-2022 Minnie Winnie, Spirit, 2020-2022 View, Navion ve 2020-2021 Vita ve Porto karavanlarını geri çağırıyor.  Aracın aşırı yüklenmesine yol açabilecek yanlış bir bağlantı etiketi takılmıştır.","Bayiler doğru etiketleri ücretsiz olarak takacaktır.  Sahip bildirim mektupları 6 Mayıs 2024'te postalandı.  Sahipler, 1-641-585-6939 veya 1-800-537-1885 numaralı telefondan Winnebago müşteri hizmetleriyle iletişime geçebilir.  Winnebago'nun bu geri çağırmaya ilişkin numarası 177."
FORTUNE,"Prinx Chengshan Tire North America, Inc. (PCTNA), yedek lastik olarak satılan bazı Fortune Tormenta ve Prinx Hicountry'yi geri çağırıyor.  Belirli boyutlar için lütfen 573 Güvenlik Raporuna bakın.  Lastikler kar lastiği olarak etiketlenir ancak her türlü karlı hava koşulunda yeterli çekiş gücüne sahip değildir.  Dolayısıyla bu lastikler, Federal Motorlu Taşıt Güvenlik Standardı 139 numaralı ""Hafif Araçlar için Yeni Pnömatik Radyal Lastikler"" gerekliliklerine uymamaktadır.","Bayiler, ücretsiz olarak muayene edecek ve onaracak veya gerektiğinde müşterilere tamamen geri ödeme yapacaktır.  Sahip bildirim mektupları 27 Ocak 2025'te gönderildi. Sahipler, 1-855-544-4891 numaralı telefondan PCTNA müşteri hizmetleriyle iletişime geçebilir."
ROSENBAUER,"Rosenbauer America (Rosenbauer), kablosuz el kumandalı belirli Warn Industries VR EVO vinçleriyle donatılmış belirli 2020-2022 Ticari F-550, 2022 Ticari M2-106, M2-112, Ticari 567, 2021 Commander ve Avenger araçlarını geri çağırıyor.  Vinç için el tipi uzaktan kumandaya su girebilir ve devre kartının korozyonuna neden olabilir, bu da vincin istenmeden çalışmasına neden olabilir.","Rosenbauer, sahipleri bilgilendirecek ve uzaktan kumandanın korozyon açısından incelenmesi, kablosuz işlevin devre dışı bırakılması ve gerekirse yeni bir kablolu uzaktan kumandanın ücretsiz olarak sipariş edilmesi için talimatlar verecek.  Sahip bildirim mektupları 25 Eylül 2023'te gönderildi. Sahipler 1-651-462-1000 numaralı telefondan Rosenbauer müşteri hizmetleriyle iletişime geçebilir."
MERCEDES-BENZ,"Mercedes-Benz USA, LLC (MBUSA), 2016 - 2021 CLA-Class, GLA-Class, GLE-Class, GLS-Class, SLC-Class, A-Class, GT-Class, C-Class, E-Class, S-Class, CLS-Class, SL-Class, B-Class, GLB-Class, GLC-Class ve G-Class araçlarını geri çağırıyor.  Belirli araç modeli ayrıntıları için lütfen Bölüm 573 raporuna bakın.  İletişim modülünün yazılım tasarımı, bir çarpışma durumunda acil çağrı sistemi (eCall) için doğru araç konumunu iletmede başarısız olabilir.",MBUSA sahipleri bilgilendirecek ve iletişim modülü yazılımı bir satıcı tarafından veya kablosuz (OTA) güncelleme yoluyla ücretsiz olarak güncellenecektir.  Geri çağırma 12 Mart 2021'de başladı. Araç sahipleri 1-877-762-8267 numaralı telefondan MBUSA müşteri hizmetleriyle iletişime geçebilir.  MBUSA'nın bu geri çağırmaya ilişkin numarası 2021020025'tir.
FORTUNE,"Prinx Chengshan Tire North America, Inc. (PCTNA), yedek lastik olarak satılan bazı Fortune Tormenta ve Prinx Hicountry'yi geri çağırıyor.  Belirli boyutlar için lütfen 573 Güvenlik Raporuna bakın.  Lastikler kar lastiği olarak etiketlenir ancak her türlü karlı hava koşulunda yeterli çekiş gücüne sahip değildir.  Dolayısıyla bu lastikler, Federal Motorlu Taşıt Güvenlik Standardı 139 numaralı ""Hafif Araçlar için Yeni Pnömatik Radyal Lastikler"" gerekliliklerine uymamaktadır.","Bayiler, ücretsiz olarak muayene edecek ve onaracak veya gerektiğinde müşterilere tamamen geri ödeme yapacaktır.  Sahip bildirim mektupları 27 Ocak 2025'te gönderildi. Sahipler, 1-855-544-4891 numaralı telefondan PCTNA müşteri hizmetleriyle iletişime geçebilir."
FCCC,"Daimler Trucks North America LLC (DTNA), 2018 Freightliner Custom Chassis Corporation (FCCC) XBP, 2016-2019 XCM, 2017-2020 XCS, 2018-2019 XBR, 2017-2019 XBS, 2016-2019 XCL, 2017-2020 XCP ve 2017-2020 XCP modellerinin bazılarını geri çağırıyor 18V-582'nin geri çağrılması nedeniyle ""yalnızca inceleme"" çözümünü alan 2016-2020 XCR rekreasyon aracı şasisi.  Arkaya monte edilen Güç Dağıtım Modülü (PDM) üretim sırasında hasar görmüş ve muhtemelen arka işaret lambalarının, fren lambalarının veya dönüş sinyallerinin çalışmamasına neden olmuş olabilir.","DTNA sahipleri bilgilendirecek ve bayiler PDM'yi ücretsiz olarak değiştirecek.  DTNA, sahiplere 4 Eylül 2020 tarihinde geçici bir bildirim yayınladı. Sahipler, 1-800-547-0712 numaralı telefondan DTNA müşteri hizmetleriyle iletişime geçebilir.  Bu geri çağırma için DTNA'nın numarası FL-856'dır."
FREIGHTLINER,"DAIMLER TRUCKS, 2005-2011 YILI FREIGHTLINER CASCADIA, COLUMBIA, CENTURY, CORONADO VE 1 KASIM 2004'TEN 15 HAZİRAN 2010'A KADAR RAF VE PİNYON DİREKSİYON SİSTEMİ İÇİN ÜRETİLEN BELİRLİ MODEL KAMYONLARI GERİ ÇEKİYOR.  ALT PİNYON RULMANI PASLANARAK BOZULABİLİR VE BOZULABİLİR.  Arızalı bir rulman, makaralı valf contalarının hasar görmesine yol açabilir.  HASARLI BİR SÜRGÜ VALFİ CONTASI HİDROLİK SIVININ GERİ DÖNÜŞ PORTUNA AKIŞ YERİNE SAĞ VEYA SOL DÖNÜŞ PORTUNA AKIŞINA İZİN VEREBİLİR.","DAIMLER KAMYONLARI ALT RULMANI PASLANMA AÇISINDAN DENETLEYECEKTİR.  KOROZYON BULUNDUĞUNDA RAF VE PİNYON SİSTEMİ DEĞİŞTİRİLECEKTİR.  RULMANDA HERHANGİ BİR KOROZYON BULUNMADIĞI TAKDİRDE RULMAN GRES İLE DOLGULANACAK VE KAUÇUK KÖRÜKLER, KÖRÜK İLE RAF YUVASI ARASINA EKLENEN SIZDIRMAZLIK ÜRÜNÜ İLE DEĞİŞTİRİLECEKTİR.  ARALIK 2011'DE GEÇİCİ BİR MEKTUP GÖNDERİLDİ. SAHİPLER DAIMLER TRUCKS'LA ÜCRETSİZ 1-800-547-0712 numaralı telefondan iletişime geçebilirler."
